epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,884.015,1.35113,1.25853,1.48399,0.64939,0.5271,0.56318,0.23573,1.96303,1.91146,2.05516,0.0091882,0.0091882,0.0091882
43,908.061,1.35067,1.2447,1.48966,0.62992,0.68046,0.66264,0.39306,1.54397,1.19743,1.65382,0.0091684,0.0091684,0.0091684
44,931.923,1.34616,1.27597,1.48879,0.64364,0.66456,0.67913,0.42169,1.45066,1.13893,1.55798,0.0091486,0.0091486,0.0091486
45,955.439,1.34113,1.25122,1.48213,0.86673,0.15074,0.20452,0.08889,2.23788,3.44697,2.59647,0.0091288,0.0091288,0.0091288
46,979.057,1.34447,1.22923,1.47583,0.83125,0.61101,0.71987,0.42045,1.45845,1.05439,1.5943,0.009109,0.009109,0.009109
47,1002.63,1.31731,1.20858,1.46682,0.60601,0.61807,0.66943,0.33316,1.68109,1.57533,1.89754,0.0090892,0.0090892,0.0090892
48,1026.85,1.34332,1.24166,1.48741,0.67055,0.74268,0.74012,0.43554,1.40259,1.07708,1.49882,0.0090694,0.0090694,0.0090694
49,1050.91,1.32579,1.21726,1.46345,0.62577,0.8336,0.80256,0.44949,1.54135,1.08217,1.63797,0.0090496,0.0090496,0.0090496
50,1075.1,1.32334,1.19815,1.46231,0.61,0.70212,0.69665,0.39528,1.53631,1.09601,1.65911,0.0090298,0.0090298,0.0090298
51,1098.89,1.3234,1.17919,1.459,0.76734,0.74831,0.82403,0.46518,1.46551,1.0393,1.57017,0.00901,0.00901,0.00901
52,1122.52,1.32701,1.20552,1.46181,0.56885,0.74922,0.70482,0.42572,1.56794,1.06172,1.67733,0.0089902,0.0089902,0.0089902
53,1145.36,1.3136,1.19106,1.46241,0.65407,0.85152,0.76248,0.39723,1.61424,1.1762,1.65296,0.0089704,0.0089704,0.0089704
54,1166.41,1.31274,1.19948,1.46923,0.62618,0.70994,0.74875,0.41764,1.51838,1.16652,1.61226,0.0089506,0.0089506,0.0089506
55,1186.24,1.31695,1.18276,1.45593,0.79195,0.62803,0.70292,0.37174,1.53517,1.24998,1.63204,0.0089308,0.0089308,0.0089308
56,1207.33,1.30893,1.19923,1.46192,0.6088,0.72595,0.72832,0.43804,1.43467,1.0982,1.54035,0.008911,0.008911,0.008911
57,1229.19,1.30326,1.17965,1.43986,0.61235,0.72982,0.70874,0.4013,1.49863,1.28475,1.65709,0.0088912,0.0088912,0.0088912
58,1251.1,1.29667,1.15606,1.45932,0.76333,0.72237,0.76584,0.41528,1.62932,1.12867,1.73686,0.0088714,0.0088714,0.0088714
